rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,coverage_mentions_today,exact_url_mentions_today,filename_mentions_today,canonical_mentions_today,social_exact_mentions_today,crawl_hits_today,providers_checked_today,errors_today,heat_score_7d,coverage_mentions_7d,exact_url_mentions_7d,filename_mentions_7d,canonical_mentions_7d,social_exact_mentions_7d,crawl_hits_7d,providers_checked_7d,errors_7d,heat_score_30d,coverage_mentions_30d,exact_url_mentions_30d,filename_mentions_30d,canonical_mentions_30d,social_exact_mentions_30d,crawl_hits_30d,providers_checked_30d,errors_30d
7d,28.0,28.0,NYC Rules - Adopted,rule,DOB,Amendment to Rules relating to Flood Hazard Areas,2026-03-21,https://rules.cityofnewyork.us/rule/amendment-to-rules-relating-to-flood-hazard-areas,,html,28 news articles referencing the report by title,28.0,28,0,0,0,0,0,gdelt,,28.0,28,0,0,0,0,0,gdelt,,28.0,28,0,0,0,0,0,gdelt,
7d,27.0,27.0,NYC Independent Budget Office,report,,Understanding the Budget: A Guide to the Capital Budget,,https://www.ibo.nyc.ny.us/iboreports/IBOCBG.pdf,https://www.ibo.nyc.ny.us/iboreports/IBOCBG.pdf,pdf,27 news articles referencing the report by title,27.0,27,0,0,0,0,0,gdelt,,27.0,27,0,0,0,0,0,gdelt,,27.0,27,0,0,0,0,0,gdelt,
7d,23.0,23.0,NYC Independent Budget Office,report,,Analysis of the 2025 Executive Budget and Financial Plan by the Independent Budget Office,2024-05-15,https://ibo.nyc.ny.us/iboreports/executive-budget-may-2024.html,,html,23 news articles referencing the report by title,23.0,23,0,0,0,0,0,gdelt,,23.0,23,0,0,0,0,0,gdelt,,23.0,23,0,0,0,0,0,gdelt,
7d,18.0,18.0,NYC Independent Budget Office,report,,How Much Did the 2021 Adopted Budget Reduce Spending For the New York City Police Department?,2020-08-18,https://ibo.nyc.ny.us/cgi-park2/2020/08/how-much-did-the-2021-adopted-budget-reduce-spending-for-the-new-york-city-police-department,,html,18 news articles referencing the report by title,18.0,18,0,0,0,0,0,gdelt,,18.0,18,0,0,0,0,0,gdelt,,18.0,18,0,0,0,0,0,gdelt,
7d,17.0,17.0,NYS Comptroller,report,,"Review of the Financial Plan of the City of New York, March 2026",,https://www.osc.ny.gov/files/reports/osdc/pdf/report-23-2026.pdf,https://www.osc.ny.gov/files/reports/osdc/pdf/report-23-2026.pdf,pdf,17 news articles referencing the report by title,17.0,17,0,0,0,0,0,gdelt,,17.0,17,0,0,0,0,0,gdelt,,17.0,17,0,0,0,0,0,gdelt,
7d,17.0,17.0,NYC Government Publications Portal,publication,,Current State of Rent Stabilized Housing,2026-05-20,https://a860-gpp.nyc.gov/concern/nyc_government_publications/3t945x34h?locale=en,,html,17 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Stabilized Housing Rent:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Stabilized+Housing+Rent&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,17.0,17,0,0,0,0,0,gdelt,,17.0,17,0,0,0,0,0,gdelt,
7d,16.0,16.0,NYC Rules - Adopted,rule,TLC,Personal Injury Insurance Coverage,2026-03-01,https://rules.cityofnewyork.us/rule/personal-injury-insurance-coverage,,html,16 news articles referencing the report by title,16.0,16,0,0,0,0,0,gdelt,,16.0,16,0,0,0,0,0,gdelt,,16.0,16,0,0,0,0,0,gdelt,
7d,14.0,14.0,NYS Comptroller,report,,Annual Report on Local Governments for Fiscal Year End 2024,,https://www.osc.ny.gov/files/local-government/publications/pdf/fye2024-annualreport.pdf,https://www.osc.ny.gov/files/local-government/publications/pdf/fye2024-annualreport.pdf,pdf,14 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Governments Fiscal Local Year End:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Governments+Fiscal+Local+Year+End&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,14.0,14,0,0,0,0,0,gdelt,,14.0,14,0,0,0,0,0,gdelt,
7d,13.0,13.0,NYC Department of Investigation,report,,Investigation Concerning New York City Police Department Security Details for City Elected Officials,2025-01-08,https://www.nyc.gov/assets/doi/reports/pdf/2025/01SecurityDetailRpt.Release01.08.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/01SecurityDetailRpt.Release01.08.2025.pdf,pdf,13 news articles referencing the report by title,0.0,0,0,0,0,0,0,gdelt,gdelt-coverage:Officials Security Details Elected Police:429 Client Error: Too Many Requests for url: https://api.gdeltproject.org/api/v2/doc/doc?query=Officials+Security+Details+Elected+Police&mode=ArtList&format=json&maxrecords=75&timespan=30d&sort=DateDesc,13.0,13,0,0,0,0,0,gdelt,,13.0,13,0,0,0,0,0,gdelt,
7d,13.0,13.0,NYC Independent Budget Office,report,,Back to Work Program Spending and Performance,,https://www.ibo.nyc.ny.us/iboreports/backtowork42309.pdf,https://www.ibo.nyc.ny.us/iboreports/backtowork42309.pdf,pdf,13 news articles referencing the report by title,13.0,13,0,0,0,0,0,gdelt,,13.0,13,0,0,0,0,0,gdelt,,13.0,13,0,0,0,0,0,gdelt,
