source_name,kind,agency,title,published_date,url,document_url,format,source_page
NYC Board of Correction,report,,Download the March 2026 Observation Aide Assessment Report,,https://www.nyc.gov/assets/boc/downloads/pdf/Reports/BOC-Reports/BOC-March-2026-Observation-Aide-Assessment.pdf,https://www.nyc.gov/assets/boc/downloads/pdf/Reports/BOC-Reports/BOC-March-2026-Observation-Aide-Assessment.pdf,pdf,https://www.nyc.gov/site/boc/reports/board-of-correction-reports.page
NYC Department of Homeless Services,report,,FY25Q2,,https://www.nyc.gov/assets/dhs/downloads/pdf/LL-95-of-2023-FY25Q2.pdf,https://www.nyc.gov/assets/dhs/downloads/pdf/LL-95-of-2023-FY25Q2.pdf,pdf,https://www.nyc.gov/site/dhs/about/stats-and-reports.page
NYC Department of Homeless Services,report,,FY25Q3,,https://www.nyc.gov/assets/dhs/downloads/pdf/LL-95-of-2023-FY25Q3.pdf,https://www.nyc.gov/assets/dhs/downloads/pdf/LL-95-of-2023-FY25Q3.pdf,pdf,https://www.nyc.gov/site/dhs/about/stats-and-reports.page
NYS Comptroller,report,,2025 Year In Review,,https://www.osc.ny.gov/files/reports/pdf/2025-year-in-review.pdf,https://www.osc.ny.gov/files/reports/pdf/2025-year-in-review.pdf,pdf,
NYS Comptroller,report,,DiNapoli: NY State Pension Fund Purchases $20 Million in State of Israel Bonds,,https://www.osc.ny.gov/press/releases/2023/10/dinapoli-ny-state-pension-fund-purchases-20-million-state-israel-bonds,,html,
NYS Comptroller,report,,"DiNapoli: State Pension Fund Posts Strong 11.94% Annual Return, Closes at Record High of $295.4 Billion",,https://www.osc.ny.gov/press/releases/2026/05/dinapoli-state-pension-fund-posts-strong-11-point-94-percent-annual-return-closes-at-record-high-295-point-4-billion,,html,
NYS Comptroller,report,,New York State Financial Reporting,,https://www.osc.ny.gov/reports/finance,,html,
nyc.gov,report,,20220606 Shazia Bibi,,https://www.nyc.gov/assets/districting/downloads/pdf/20220606-Shazia-Bibi.pdf,https://www.nyc.gov/assets/districting/downloads/pdf/20220606-Shazia-Bibi.pdf,pdf,
NYC Mayor's Office of Operations,report,,Operations Pmmr2026 Hra,,https://www.nyc.gov/assets/operations/downloads/pdf/pmmr2026/hra.pdf,https://www.nyc.gov/assets/operations/downloads/pdf/pmmr2026/hra.pdf,pdf,
NYC Mayor's Office of Operations,report,,Operations Pmmr2026 Dhs,,https://www.nyc.gov/assets/operations/downloads/pdf/pmmr2026/dhs.pdf,https://www.nyc.gov/assets/operations/downloads/pdf/pmmr2026/dhs.pdf,pdf,
NYC Housing Preservation & Development,report,,Mih Fact Sheet,,https://www.nyc.gov/assets/hpd/downloads/pdfs/services/mih-fact-sheet.pdf,https://www.nyc.gov/assets/hpd/downloads/pdfs/services/mih-fact-sheet.pdf,pdf,
NYC City Council,report,,Atlantic Avenue Mixed Use Plan (AAMUP),,https://council.nyc.gov/crystal-hudson/aamup,,html,
